address,size,rent,personer,dagar,time,url
Armégatan 32 A / 1415,36,4 564,8,679,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=58786b38726d3937556c63636764684d4c58667a306a3155304f53536b546935
Emmylundsvägen 3 / 1805,18,3 496,9,150,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=2f4f567555453045324d2b73713856744439745a444757794537755338493745
Studentbacken 21 / 1206,17,3 962,13,115,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=613550536e72527a58664f354e7641732b6d7365664e496478526954614d736f
Studentbacken 21 / 1317,41,6 321,19,1201,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7a4b543770684441505676524f72674546694b6d61515071697530566848442f
Körsbärsvägen 4 B / 1317,18,4 095,15,427,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6b4a7231616c3473682f584a495766467334684976465934504b306c6e745251
Körsbärsvägen 4 C / 1311,18,3 918,13,288,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=57706a353454364b322b6c6936774870634771414d6456642f55687575554e67
Körsbärsvägen 9 / 1604,36,6 495,12,895,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=42706a64376f5576384d6b6e46526e6338547163746567634a394a416f345a5a
Edinsvägen 22 B / 1109,17,3 246,7,625,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4e337358583562694862676b472f78786c78654b4d6b7664335838694752446a
Röntgenvägen 1 / 2316,62,7 080,13,835,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6d472b55426d6133626f4c4f7a6e745a4955565863742f544d4230687a2f5947
Maltgatan  4 / 1109,25,5 867,12,454,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=5848646e5a574a4674496d666a7778666f706a475746484a49596831564f6546
Maltgatan 12 / 1206,29,6 261,11,882,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=384979354463674671375576644c786476326a702b714f426f552f70354e7957
Maltgatan  8 / 1308,42,9 186,13,495,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7758684155626544676d3632304165674d4b335266474b4c6e6f76652f37314b
Armégatan 32 B / 1204,20,6 139,9,152,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=782b47764132374b48324a704a5868647a45517a364d7343336a347449753678
Emmylundsvägen 3 / 1313,18,3 496,8,149,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=66455879477275336f74563753674d4463617739376d6e79444b6d7533717277
