address,clicks_on_day_2022-11-02 15:19,clicks_on_day_2022-11-02 15:20,clicks_on_day_2022-11-02 15:21,clicks_on_day_2022-11-02 15:22,clicks_on_day_2022-11-02 15:23,clicks_on_day_2022-11-02 15:24,clicks_on_day_2022-11-02 15:25,clicks_on_day_2022-11-02 15:26,clicks_on_day_2022-11-02 15:27,clicks_on_day_2022-11-02 15:29,clicks_on_day_2022-11-02 15:30,clicks_on_day_2022-11-02 15:31,clicks_on_day_2022-11-02 15:32,clicks_on_day_2022-11-02 15:33,clicks_on_day_2022-11-02 15:34,clicks_on_day_2022-11-02 15:35,clicks_on_day_2022-11-02 15:36,clicks_on_day_2022-11-02 15:37,clicks_on_day_2022-11-02 15:38,clicks_on_day_2022-11-02 15:40,clicks_on_day_2022-11-02 15:41,clicks_on_day_2022-11-02 15:42,clicks_on_day_2022-11-02 15:43,clicks_on_day_2022-11-02 15:44,clicks_on_day_2022-11-02 15:45
Armégatan 32 A / 1415,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679
Armégatan 32 B / 1204,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
Edinsvägen 22 B / 1109,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625
Emmylundsvägen 1 / 1407,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
Emmylundsvägen 1 / 1510,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
Emmylundsvägen 3 / 1313,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
Emmylundsvägen 3 / 1602,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
Emmylundsvägen 3 / 1712,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
Emmylundsvägen 3 / 1805,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Emmylundsvägen 5 / 1114,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192
Emmylundsvägen 5 / 1212,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192
Forskarbacken  7 / 1005,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Forskarbacken 17 / 1104,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422
Forskarbacken 19 / 1106,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433
Gustav III:s Boulevard 4 / 1601,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972
Kungshamra 31 / 1220,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Kungshamra 71 / 1013,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
Kungshamra 71 / 1204,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
